index,headline,source_url,publish_date,publisher,crawl_type
64,Wuhan virus: Rats and live wolf pups on the menu at China food market linked to virus outbreak,https://www.straitstimes.com/asia/east-asia/on-the-menu-at-china-virus-market-rats-and-live-wolf-pups,22/01/2020 18:13,The Straits Times,auto
65,Wuhan virus: Trump says US in 'good shape' with plan for coronavirus,https://www.straitstimes.com/world/europe/trump-says-us-in-good-shape-with-plan-for-coronavirus,22/01/2020 18:43,The Straits Times,auto
66,"Wuhan virus: Masks, disinfectants in low supply as China virus spreads",https://www.straitstimes.com/asia/east-asia/masks-disinfectants-in-low-supply-as-china-virus-spreads,22/01/2020 18:48,The Straits Times,auto
67,"Public should use surgical masks, not N95 masks, to guard against Wuhan virus spread: Experts",https://www.straitstimes.com/singapore/health/public-should-use-surgical-masks-not-n95-masks-to-guard-against-wuhan-virus-spread,22/01/2020 21:35,The Straits Times,auto
68,Wuhan virus: How it could have jumped from animals to humans and other questions answered,https://www.straitstimes.com/singapore/health/wuhan-virus-how-it-could-have-jumped-from-animals-to-humans-and-other-questions,22/01/2020 21:50,The Straits Times,auto
69,UK steps up checks on flights from Wuhan as precaution against new virus,https://www.straitstimes.com/world/europe/uk-steps-up-checks-on-flights-from-wuhan-as-precaution-against-new-virus,22/01/2020 22:01,The Straits Times,auto
70,Mexico says possible case of Wuhan virus under investigation,https://www.straitstimes.com/world/americas/mexico-says-possible-case-of-coronavirus-under-investigation,22/01/2020 22:10,The Straits Times,auto
71,Tour agencies take precautions with groups to China amid Wuhan virus outbreak; hotels on lookout for sick travellers,https://www.straitstimes.com/singapore/tour-agencies-take-precautions-with-groups-to-china-hotels-on-the-lookout-for-sick,22/01/2020 22:14,The Straits Times,auto
72,Wuhan virus: Death toll from virus outbreak in China almost doubles to 17,https://www.straitstimes.com/asia/east-asia/death-toll-from-virus-outbreak-in-chinas-hubei-reaches-17,22/01/2020 22:50,The Straits Times,auto
73,"Wuhan virus: China quarantines city, shuts down flights and public transport as outbreak grows",https://www.straitstimes.com/asia/east-asia/chinese-virus-hit-city-of-wuhan-closes-transport-networks-state-media,23/01/2020 03:17,The Straits Times,auto
74,"WHO commends China measures to limit virus spread, delays declaring global emergency",https://www.straitstimes.com/world/europe/who-says-will-decide-on-thursday-if-china-virus-is-a-global-health-emergency,23/01/2020 04:59,The Straits Times,auto
75,"Wuhan virus: Opt for surgical masks over N95 masks for protection, say experts",https://www.straitstimes.com/singapore/health/opt-for-surgical-masks-over-n95-masks-for-protection-experts,23/01/2020 05:00,The Straits Times,auto
76,askST: What you need to know about the Wuhan virus,https://www.straitstimes.com/singapore/health/what-you-need-to-know-about-the-virus,23/01/2020 05:00,The Straits Times,auto
77,Wuhan virus: Two children among 3 new suspected cases here,https://www.straitstimes.com/singapore/health/two-children-among-3-new-suspected-cases-here,23/01/2020 05:00,The Straits Times,auto
78,"Singapore sets up task force to deal with Wuhan virus, MOH advises against travel to Chinese city",https://www.straitstimes.com/singapore/health/spore-sets-up-task-force-to-deal-with-wuhan-virus,23/01/2020 05:00,The Straits Times,auto
79,Experts: China's economy at risk as Wuhan virus spreads,https://www.straitstimes.com/business/economy/experts-chinas-economy-at-risk-as-wuhan-virus-spreads,23/01/2020 05:00,The Straits Times,auto
80,Wuhan virus: Travel agencies taking precautions for China tours,https://www.straitstimes.com/singapore/travel-agencies-taking-precautions-for-china-tours,23/01/2020 05:00,The Straits Times,auto
81,In Brief: Macau confirms first case of virus,https://www.straitstimes.com/asia/in-brief-macau-confirms-first-case-of-virus,23/01/2020 05:00,The Straits Times,auto
82,"Wuhan virus: Outbreak at critical stage as virus mutates, warn health officials",https://www.straitstimes.com/asia/east-asia/outbreak-at-critical-stage-as-virus-mutates-warn-health-officials,23/01/2020 05:00,The Straits Times,auto
83,Wall Street treads water as China virus fears ease,https://www.straitstimes.com/business/companies-markets/wall-street-treads-water-as-china-virus-fears-ease,23/01/2020 05:57,The Straits Times,auto
84,Wuhan virus: Man in Mexico ill after visiting Wuhan,https://www.straitstimes.com/world/americas/wuhan-virus-man-in-mexico-ill-after-visiting-wuhan,23/01/2020 07:03,The Straits Times,auto
85,China's new year nightmare: 3 billion trips and a virus,https://www.straitstimes.com/asia/east-asia/chinas-lunar-new-year-nightmare-3-billion-trips-and-a-virus,23/01/2020 07:05,The Straits Times,auto
86,"China stocks plunge, Asia markets drop sharply as Wuhan virus fears deepen",https://www.straitstimes.com/business/companies-markets/asian-stocks-revisit-declines-amid-wuhan-virus-concern,23/01/2020 08:34,The Straits Times,auto
87,Wuhan virus: 16 people monitored for contact with US victim,https://www.straitstimes.com/world/americas/wuhan-virus-16-people-monitored-for-contact-with-us-victim,23/01/2020 08:54,The Straits Times,auto
88,"Wuhan virus: Singapore schools ask parents, staff to declare weekend travel plans",https://www.straitstimes.com/singapore/education/moe-and-pre-schools-ask-parents-and-staff-to-declare-weekend-travel-plans-to,23/01/2020 10:33,The Straits Times,auto
89,"Coronavirus: Inside China's ground zero, unease grips a city of 11 million in lockdown",https://www.straitstimes.com/asia/east-asia/wuhan-virus-inside-chinas-ground-zero-unease-grips-a-city-in-lockdown,23/01/2020 10:49,The Straits Times,auto
90,In Pictures: Countries step up checks for Wuhan virus,https://www.straitstimes.com/multimedia/photos/in-pictures-countries-step-up-checks-for-wuhan-virus,23/01/2020 11:23,The Straits Times,auto
91,Wuhan virus: China's wild animal markets back in spotlight,https://www.straitstimes.com/asia/east-asia/chinese-markets-where-the-distance-between-wild-animals-and-humans-is-too-close,23/01/2020 11:55,The Straits Times,auto
92,Several Wuhan virus victims did not have fever; it may be harder for govts to detect infections,https://www.straitstimes.com/asia/east-asia/several-wuhan-virus-victims-did-not-have-fever-it-may-be-harder-for-govts-to-detect,23/01/2020 13:09,The Straits Times,auto
93,"Last flight from Wuhan: 'Everyone was wearing masks,' says passenger",https://www.straitstimes.com/asia/australianz/last-flight-from-wuhan-everyone-was-wearing-masks-says-passenger,23/01/2020 13:10,The Straits Times,auto
94,Wuhan virus: Scoot cancels 8 flights between Singapore and Wuhan,https://www.straitstimes.com/singapore/wuhan-virus-scoot-cancels-8-flights-between-singapore-and-wuhan,23/01/2020 13:15,The Straits Times,auto
95,Residents of China's virus-hit Wuhan call for support,https://www.straitstimes.com/asia/east-asia/residents-of-chinas-virus-hit-wuhan-call-for-support,23/01/2020 13:30,The Straits Times,auto
96,Hong Kong turns holiday camps into quarantine zones as virus fears spike,https://www.straitstimes.com/asia/east-asia/hong-kong-turns-holiday-camps-into-quarantine-zones-as-virus-fears-spike,23/01/2020 14:24,The Straits Times,auto
97,Wuhan virus: How global airlines are responding as the outbreak spreads,https://www.straitstimes.com/asia/east-asia/wuhan-virus-how-global-airlines-are-responding-as-the-outbreak-spreads,23/01/2020 14:35,The Straits Times,auto
98,Concerts in Wuhan postponed due to virus outbreak,https://www.straitstimes.com/lifestyle/entertainment/concerts-in-wuhan-postponed-due-to-virus-outbreak,23/01/2020 14:40,The Straits Times,auto
99,"Wuhan virus: MOH expands travel advisory, now urges Singaporeans to avoid travel to Hubei province",https://www.straitstimes.com/singapore/wuhan-virus-avoid-travelling-to-wuhan-says-moh,23/01/2020 14:50,The Straits Times,auto
100,Wuhan virus: Mindef issues two advisories for service personnel,https://www.straitstimes.com/singapore/health/wuhan-virus-mindef-issues-two-advisories-for-service-personnel,23/01/2020 17:01,The Straits Times,auto
101,"The Big Story: Wuhan on lockdown, WEF 2020 takeaways, MOM labour force report",https://www.straitstimes.com/multimedia/the-big-story-wuhan-on-lockdown-wef-2020-takeaways-mom-labour-force-report,23/01/2020 17:25,The Straits Times,auto
102,Wuhan virus: Six things to know about Wuhan,https://www.straitstimes.com/asia/east-asia/wuhan-virus-six-things-to-know-about-wuhan,23/01/2020 18:01,The Straits Times,auto
103,"Wuhan virus: China locks down Huanggang, imposes tough travel restrictions in 3 other cities",https://www.straitstimes.com/asia/east-asia/china-locks-down-two-more-cities-huanggang-and-ezhou-after-wuhan,23/01/2020 18:04,The Straits Times,auto
104,Wuhan virus: Release of 4 Chinese New Year movies in Singapore cinemas put on hold,https://www.straitstimes.com/lifestyle/entertainment/wuhan-outbreak-release-of-four-chinese-new-year-movies-in-singapore-cinemas,23/01/2020 18:26,The Straits Times,auto
105,Singapore confirms first case of Wuhan virus; second case likely,https://www.straitstimes.com/singapore/health/singapore-confirms-first-case-of-wuhan-virus,23/01/2020 21:04,The Straits Times,auto
106,Singapore better prepared to handle Wuhan virus outbreak: PM Lee,https://www.straitstimes.com/world/europe/singapore-better-prepared-to-handle-wuhan-virus-outbreak-no-need-to-panic-pm-lee-hsien,23/01/2020 22:00,The Straits Times,auto
107,Wuhan virus: Vietnam says two Chinese citizens in Vietnam confirmed to have coronavirus,https://www.straitstimes.com/asia/se-asia/vietnam-confirms-two-cases-of-sars-like-coronavirus,23/01/2020 22:34,The Straits Times,auto
108,Wuhan virus: Singaporean escapes Wuhan hours before lockdown,https://www.straitstimes.com/singapore/singaporean-escapes-wuhan-hours-before-lockdown,23/01/2020 22:36,The Straits Times,auto
109,"Wuhan virus: Work to start on three possible vaccines, says epidemic response group",https://www.straitstimes.com/world/europe/wuhan-virus-epidemic-response-group-says-starts-work-on-3-possible-vaccines,23/01/2020 22:57,The Straits Times,auto
110,Beijing's Forbidden City to close over Wuhan virus fears,https://www.straitstimes.com/asia/east-asia/beijings-forbidden-city-to-close-over-wuhan-virus-fears,23/01/2020 23:10,The Straits Times,auto
111,Singapore confirms first Wuhan virus case: What you should do,https://www.straitstimes.com/singapore/health/tips-on-how-to-avoid-the-wuhan-virus,23/01/2020 23:14,The Straits Times,auto
112,"S'pore's first Wuhan virus case: Sentosa hotel sanitises rooms where patient, companions stayed",https://www.straitstimes.com/singapore/health/sentosa-hotel-sanitises-rooms-where-singapores-first-confirmed-wuhan-virus-case,24/01/2020 00:09,The Straits Times,auto
113,"Wuhan virus: Areas, countries with confirmed cases of coronavirus",https://www.straitstimes.com/asia/east-asia/wuhan-virus-countries-with-confirmed-cases-of-coronavirus,24/01/2020 00:37,The Straits Times,auto
114,Olympics: Wuhan virus casts spotlight on contagion risks in Japan as Tokyo Olympics loom,https://www.straitstimes.com/sport/olympics-wuhan-virus-casts-spotlight-on-contagion-risks-in-japan-as-tokyo-olympics-loom,24/01/2020 01:01,The Straits Times,auto
115,Wuhan virus: China's Hebei province confirms first death outside epicentre of virus outbreak,https://www.straitstimes.com/asia/east-asia/wuhan-virus-chinas-hebei-province-confirms-first-death-outside-epicentre-of-virus,24/01/2020 01:04,The Straits Times,auto
116,Wuhan virus: WHO says 'bit too early' to declare coronavirus a global emergency,https://www.straitstimes.com/world/europe/wuhan-virus-new-chinese-bug-not-yet-a-global-health-emergency-says-who,24/01/2020 02:45,The Straits Times,auto
117,"Wuhan virus: Deaths from coronavirus are so far mostly older men, many with health issues",https://www.straitstimes.com/asia/east-asia/deaths-from-coronavirus-are-so-far-mostly-older-men-many-with-health-issues,24/01/2020 03:39,The Straits Times,manual
118,Dealing with the Wuhan coronavirus,https://www.straitstimes.com/opinion/st-editorial/dealing-with-the-wuhan-coronavirus,24/01/2020 05:00,The Straits Times,auto
119,First case of Wuhan virus in Singapore; second case likely,https://www.straitstimes.com/singapore/health/first-case-of-wuhan-virus-in-singapore-second-case-likely,24/01/2020 05:00,The Straits Times,auto
120,Wuhan virus: Close contacts to be quarantined as MOH begins contact tracing,https://www.straitstimes.com/singapore/health/close-contacts-to-be-quarantined-as-moh-begins-contact-tracing,24/01/2020 05:00,The Straits Times,auto
121,"Singapore better prepared to handle Wuhan virus outbreak, no need to panic: PM Lee Hsien Loong",https://www.straitstimes.com/singapore/no-need-to-panic-as-spore-much-better-prepared-now-pm,24/01/2020 05:00,The Straits Times,auto
122,"Hotel rooms linked to confirmed case thoroughly cleaned, sealed off",https://www.straitstimes.com/singapore/health/hotel-rooms-linked-to-confirmed-case-thoroughly-cleaned-sealed-off,24/01/2020 05:00,The Straits Times,auto
123,Wuhan virus: Singapore schools step up precautionary measures,https://www.straitstimes.com/singapore/education/schools-here-step-up-precautionary-measures,24/01/2020 05:00,The Straits Times,auto
124,Wuhan virus: Release of 4 Chinese New Year movies in Singapore cinemas put on hold,https://www.straitstimes.com/singapore/release-of-four-films-put-on-hold-because-of-outbreak,24/01/2020 05:00,The Straits Times,auto
125,Wuhan virus: China locks down five cities at epicentre of outbreak,https://www.straitstimes.com/asia/east-asia/china-locks-down-five-cities-at-epicentre-of-outbreak,24/01/2020 05:00,The Straits Times,auto
126,Singaporean leaves Wuhan for Shenzhen just hours before lockdown,https://www.straitstimes.com/singapore/sporean-leaves-wuhan-for-shenzhen-just-hours-before-lockdown,24/01/2020 05:00,The Straits Times,auto
127,"Wuhan virus: Caught by surprise, residents rush to stock up on supplies",https://www.straitstimes.com/asia/east-asia/caught-by-surprise-residents-rush-to-stock-up-on-supplies,24/01/2020 05:00,The Straits Times,auto
128,Wuhan virus: China's wild animal markets a breeding ground for disease,https://www.straitstimes.com/asia/chinas-wild-animal-markets-a-breeding-ground-for-disease,24/01/2020 05:00,The Straits Times,auto
129,6 things to know about city of Wuhan: Ground zero of new virus outbreak,https://www.straitstimes.com/asia/east-asia/6-things-to-know-about-wuhan,24/01/2020 05:00,The Straits Times,auto
130,In Brief: Flight from Wuhan lands in Australia,https://www.straitstimes.com/world/in-brief-flight-from-wuhan-lands-in-australia,24/01/2020 05:00,The Straits Times,auto
131,Wuhan virus: Mindef issues advisories for service personnel,https://www.straitstimes.com/singapore/health/mindef-issues-advisories-for-service-personnel,24/01/2020 05:00,The Straits Times,auto
132,Virus outbreak puts Wuhan concerts on hold,https://www.straitstimes.com/lifestyle/entertainment/virus-outbreak-puts-wuhan-concerts-on-hold,24/01/2020 05:00,The Straits Times,auto
133,Wuhan virus: US investigating second suspected case,https://www.straitstimes.com/world/united-states/wuhan-virus-us-investigating-second-suspected-case,24/01/2020 05:04,The Straits Times,auto
134,Wuhan virus: Japan confirms second case,https://www.straitstimes.com/asia/east-asia/wuhan-virus-japan-confirms-second-case,24/01/2020 06:37,The Straits Times,manual
135,"Wuhan virus: Beijing, Shanghai urge people from outbreak areas to stay at home for 14 days as toll in China hits 26",https://www.straitstimes.com/asia/east-asia/china-virus-toll-jumps-to-25-dead-with-830-confirmed-cases,24/01/2020 08:37,The Straits Times,auto
