index,headline,source_url,publish_date,publisher,crawl_type
65,On the menu at Wuhan virus market: Rats and live wolf pups,https://www.channelnewsasia.com/news/asia/wuhan-pneumonia-virus-wholesale-market-animal-trading-12302476,22/01/2020 19:32,Channel News Asia,auto
66,The shadow of SARS: China learned the hard way how to handle an epidemic,https://www.channelnewsasia.com/news/asia/sars-china-epidemic-wuhan-pneumonia-virus-outbreak-12302508,22/01/2020 20:17,Channel News Asia,auto
67,UK to tackle Wuhan virus threat with enhanced monitoring at Heathrow airport,https://www.channelnewsasia.com/news/world/wuhan-virus-united-kingdom-enhanced-monitoring-heathrow-airport-12304282,22/01/2020 22:22,Channel News Asia,auto
68,"Wuhan virus deaths rise to 17, heightening global alarm",https://www.channelnewsasia.com/news/asia/death-toll-wuhan-pneumonia-virus-outbreak-china-hubei-reaches-17-12304588,22/01/2020 22:51,Channel News Asia,auto
69,Hong Kong leader Carrie Lam insists to stay on to tackle crises,https://www.channelnewsasia.com/news/asia/hong-kong-leader-carrie-lam-insists-to-stay-on-to-tackle-crises-12305416,23/01/2020 01:32,Channel News Asia,auto
70,China halts flights and trains out of Wuhan as WHO extends talks,https://www.channelnewsasia.com/news/asia/wuhan-virus-quarantine-city-flights-trains-china-12306684,23/01/2020 06:02,Channel News Asia,auto
71,"Wuhan virus: SIA, Scoot step up precautionary measures for all China flights",https://www.channelnewsasia.com/news/singapore/wuhan-virus-flights-singapore-airlines-sia-scoot-china-12303148,23/01/2020 06:21,Channel News Asia,auto
72,Wuhan virus: Number of confirmed cases in China exceeds 570,https://www.channelnewsasia.com/news/asia/wuhan-virus-pneumonia-coronavirus-number-cases-12307566,23/01/2020 09:10,Channel News Asia,auto
73,Commentary: Snakes possible source of Wuhan virus but more research needed,https://www.channelnewsasia.com/news/commentary/wuhan-virus-pneumonia-world-health-organisation-which-animal-12307814,23/01/2020 09:23,Channel News Asia,auto
74,Last flight from Wuhan: 'Everyone was wearing masks',https://www.channelnewsasia.com/news/asia/wuhan-virus-flight-masks-sydney-australia-coronavirus-pneumonia-12309232,23/01/2020 12:58,Channel News Asia,auto
75,MINDEF taking 'precautionary measures' in light of Wuhan virus outbreak,https://www.channelnewsasia.com/news/singapore/wuhan-virus-pneumonia-mindef-saf-soldiers-army-12309078,23/01/2020 13:18,Channel News Asia,auto
76,Scoot cancels flights to China's Wuhan over virus outbreak,https://www.channelnewsasia.com/news/singapore/wuhan-virus-scoot-cancels-flights-mtr-train-12309076,23/01/2020 13:33,Channel News Asia,auto
77,'Verge of tears': Residents of virus-hit Wuhan call for support amid worries of food shortages,https://www.channelnewsasia.com/news/asia/wuhan-virus-residents-in-city-tears-call-for-support-food-shorta-12309562,23/01/2020 13:45,Channel News Asia,auto
