index,headline,source_url,publish_date,publisher,crawl_type,Date
92,"China confirms 5,974 virus cases, exceeding nation's Sars total",https://www.todayonline.com/world/china-confirms-5974-virus-cases-exceeding-nations-sars-total,2020-29-01,Today Online,auto,2020-01-29
93,Researchers are racing to make a coronavirus vaccine. Will it help?,https://www.todayonline.com/world/researchers-are-racing-make-coronavirus-vaccine-will-it-help,2020-29-01,Today Online,auto,2020-01-29
94,Putrajaya to discuss with China to bring back Malaysians trapped in Hubei province,https://www.todayonline.com/world/putrajaya-discuss-china-bring-back-malaysians-trapped-hubei-province,2020-29-01,Today Online,auto,2020-01-29
95,"Three new confirmed cases of Wuhan virus in Malaysia, bringing total to seven",https://www.todayonline.com/world/three-new-confirmed-cases-wuhan-virus-malaysia-bringing-total-seven,2020-29-01,Today Online,auto,2020-01-29
96,Chinese actress Angelababy and hubby donate S$39k to buy masks for Wuhan medical personnel,https://www.todayonline.com/world/chinese-actress-angelababy-and-hubby-donate-s39k-buy-masks-wuhan-medical-personnel,2020-29-01,Today Online,auto,2020-01-29
97,"China virus toll exceeds 130 as Japan, US evacuate citizens",https://www.todayonline.com/world/chinas-hubei-province-center-virus-outbreak-confirms-25-new-deaths-0,2020-29-01,Today,manual,2020-01-29
98,Suspected Chinese coronavirus patient gives birth to baby by caesarean,https://www.todayonline.com/world/suspected-chinese-coronavirus-patient-gives-birth-baby-caesarean-1,2020-29-01,Today Online,auto,2020-01-29
99,Explainer: How contagious is the Wuhan coronavirus and can you spread it before symptoms start?,https://www.todayonline.com/world/explainer-how-contagious-wuhan-coronavirus-and-can-you-spread-it-symptoms-start,2020-29-01,Today Online,auto,2020-01-29
100,Japanese evacuated from Wuhan describe fear in virus epicentre,https://www.todayonline.com/world/japanese-evacuated-wuhan-describe-fear-virus-epicentre,2020-29-01,Today Online,auto,2020-01-29
101,Virus crisis exposes cracks in China’s facade of unity,https://www.todayonline.com/world/virus-crisis-exposes-cracks-chinas-facade-unity,2020-29-01,Today,manual,2020-01-29
102,"Wuhan virus outbreak: Singapore confirms 3 more cases, bringing total to 10",https://www.todayonline.com/singapore/wuhan-virus-outbreak-singapore-confirms-3-more-cases-bringing-total-10,2020-29-01,Today Online,auto,2020-01-29
103,How do bats live with so many viruses?,https://www.todayonline.com/world/how-do-bats-live-so-many-viruses,2020-29-01,Today,manual,2020-01-29
104,Explainer: Why Wuhan virus outbreak has not been declared a global public health emergency,https://www.todayonline.com/world/explainer-why-wuhan-virus-outbreak-has-not-been-declared-global-public-health-emergency,2020-29-01,Today,manual,2020-01-29
105,Beijing drugstore fined for hiking mask prices amid virus outbreak,https://www.todayonline.com/world/beijing-drug-store-fined-434530-hiking-price-masks-0,2020-29-01,Today,manual,2020-01-29
106,"In Wuhan, luxury hotel feels haunted by virus outbreak",https://www.todayonline.com/world/wuhan-luxury-hotel-feels-haunted-virus-outbreak,2020-29-01,Today Online,auto,2020-01-29
107,"Wuhan virus: Online firms Carousell, Qoo10 threaten to suspend sellers charging inflated prices for face masks",https://www.todayonline.com/singapore/wuhan-virus-amid-face-mask-shortage-online-sellers-charge-highly-inflated-prices-sparking,2020-29-01,Today,manual,2020-01-29
108,Explainer: How residences and commercial buildings exposed to the Wuhan virus should be disinfected,https://www.todayonline.com/singapore/explainer-how-residences-and-commercial-buildings-exposed-wuhan-virus-should-be,2020-29-01,Today,manual,2020-01-29
109,Australia scientists to share lab-grown coronavirus to hasten vaccine efforts,https://www.todayonline.com/world/australia-scientists-claim-first-re-creation-coronavirus-outside-china,2020-29-01,Today,manual,2020-01-29
110,Managing our fear of the Wuhan virus,https://www.todayonline.com/commentary/managing-our-fear-wuhan-virus,2020-30-01,Today Online,auto,2020-01-30
111,"To limit false reports on Wuhan virus, Pofma exemptions no longer apply for online channels: MCI",https://www.todayonline.com/singapore/limit-false-reports-wuhan-virus-Pofma-exemptions-no-longer-apply-online-channels,2020-30-01,Today Online,auto,2020-01-30
112,Wuhan virus outbreak: India reports its first case of coronavirus,https://www.todayonline.com/world/wuhan-virus-outbreak-india-reports-its-first-case-coronavirus,2020-30-01,Today Online,auto,2020-01-30
113,"Hoarding, panic buying of masks will wreck Singapore's efforts to fight spread of Wuhan virus: Chan Chun Sing",https://www.todayonline.com/singapore/hoarding-panic-buying-will-destroy-singapores-system-fight-spread-wuhan-virus-chan-chun,2020-30-01,Today Online,auto,2020-01-30
114,Fact check: Wuhan coronavirus breeds false claims around the world,https://www.todayonline.com/world/fact-check-wuhan-coronavirus-breeds-false-claims-around-world,2020-30-01,Today Online,auto,2020-01-30
115,What will be the economic impact of the Wuhan virus? It depends on how fear spreads,https://www.todayonline.com/commentary/what-will-be-economic-impact-wuhan-virus-it-depends-how-fear-spreads,2020-30-01,Today Online,auto,2020-01-30
116,Malaysia confirms 8th coronavirus case,https://www.todayonline.com/world/malaysia-confirms-8th-coronavirus-case,2020-30-01,Today Online,auto,2020-01-30
117,"Wuhan virus outbreak: Singapore confirms 3 more cases, all Chinese nationals from Wuhan, bringing total to 13",https://www.todayonline.com/singapore/wuhan-virus-outbreak-singapore-confirms-3-more-cases-all-chinese-nationals-wuhan-bringing,2020-30-01,Today Online,auto,2020-01-30
118,Govt to distribute masks to all 1.37 million Singapore households amid Wuhan virus outbreak,https://www.todayonline.com/singapore/govt-distribute-masks-all-137-million-singaporean-households-amid-wuhan-virus-outbreak,2020-30-01,Today Online,auto,2020-01-30
119,92 Singaporeans return home from Wuhan; 'some' who show symptoms of virus remain behind,https://www.todayonline.com/singapore/92-singaporeans-return-wuhan-jan-30-mfa,2020-30-01,Today Online,auto,2020-01-30
120,"China virus death toll rises to 170, more than 1,700 new cases",https://www.todayonline.com/world/china-virus-death-toll-rises-169-more-1000-new-cases,2020-30-01,Today Online,auto,2020-01-30
121,"As coronavirus explodes in China, countries struggle to control its spread",https://www.todayonline.com/world/coronavirus-explodes-china-countries-struggle-control-its-spread,2020-30-01,Today Online,auto,2020-01-30
122,Wuhan virus: Some hotels in S'pore brace themselves for fallout,https://www.todayonline.com/singapore/bookings-fall-one-spore-hotel-which-hosted-guest-who-later-tested-positive-wuhan-virus,2020-30-01,Today,manual,2020-01-30
123,New coronavirus study places incubation period at around 5 days,https://www.todayonline.com/world/new-coronavirus-study-places-incubation-period-around-5-days,2020-30-01,Today Online,auto,2020-01-30
124,"Economies of Singapore, Thailand to be hardest hit in Asean by Wuhan virus: Analysts’ report",https://www.todayonline.com/singapore/singapore-thailand-economies-be-hardest-hit-asean-wuhan-virus-analysts-report,2020-30-01,Today,manual,2020-01-30
125,Philippines confirms first case of new coronavirus - health minister,https://www.todayonline.com/world/philippines-confirms-first-case-new-coronavirus-health-minister,2020-30-01,Today,manual,2020-01-30
126,"Several public hospitals reschedule non-urgent procedures, outpatient appointments to manage Wuhan virus situation",https://www.todayonline.com/singapore/some-hospitals-reschedule-non-urgent-procedures-outpatient-appointments-manage-wuhan-virus,2020-30-01,Today Online,auto,2020-01-30
127,More Japanese evacuated from China virus epicentre as death toll climbs,https://www.todayonline.com/world/more-japanese-evacuated-china-virus-epicentre-death-toll-climbs,2020-30-01,Today Online,auto,2020-01-30
