index,headline,source_url,publish_date,publisher,crawl_type
75,New travel restrictions: visitors with recent travel history to China not allowed into SG,http://theindependent.sg/new-travel-restrictions-visitors-with-recent-travel-history-to-china-not-allowed-into-sg,01/02/2020,The Independent Singapore,manual
76,"Morning brief: Wuhan coronavirus update for Feb 1, 2020",http://theindependent.sg/morning-brief-wuhan_-coronavirus-update-for-feb-1-2020/,01/02/2020,The Independent Singapore,manual
77,"Morning brief: Wuhan coronavirus update for Feb 2, 2020",http://theindependent.sg/morning-brief-wuhan-coronavirus-update-for-feb-2-2020,02/02/2020,The Independent Singapore,manual
78,"Joanne Peh stays in China with her children amidst Wuhan outbreak, urges everyone to stay strong",http://theindependent.sg/joanne-peh-stays-in-china-with-her-children-amidst-wuhan-outbreak-urges-everyone-to-stay-strong,02/02/2020,The Independent Singapore,manual
79,China exempts US imports from tariffs for virus fight,http://theindependent.sg/china-exempts-us-imports-from-tariffs-for-virus-fight,02/02/2020,The Independent Singapore,manual
80,"Wuhan virus outbreak: Whole of nation, not just whole of government, approach",http://theindependent.sg/wuhan-virus-outbreak-whole-of-nation-not-just-whole-of-government-approach,02/02/2020,The Independent Singapore,manual
81,DPM Heng: Govt will support firms and workers hit by economic slowdown from Wuhan virus outbreak,http://theindependent.sg/dpm-heng-govt-will-support-firms-and-workers-hit-by-economic-slowdown-from-wuhan-virus-outbreak,02/02/2020,The Independent Singapore,manual
82,Ho Ching presents two scenarios should a pandemic occur due to the Wuhan coronavirus,http://theindependent.sg/ho-ching-presents-two-scenarios-should-a-pandemic-occur-due-to-the-wuhan-coronavirus,03/02/2020,The Independent Singapore,manual
83,China says US reaction to virus spreads ‘panic’,http://theindependent.sg/china-says-us-reaction-to-virus-spreads-panic,03/02/2020,The Independent Singapore,manual
84,"Virus deaths in China pass 360, exceeding SARS mainland toll",http://theindependent.sg/virus-deaths-in-china-pass-360-exceeding-sars-mainland-toll,03/02/2020,The Independent Singapore,manual
85,"Wuhan virus: Remove main doors of public toilets to boost hygiene, says Forum letter",http://theindependent.sg/wuhan-virus-remove-main-doors-of-public-toilets-to-boost-hygiene-says-forum-letter,03/02/2020,The Independent Singapore,manual
86,Malaysian govt dispels rumours: Coronavirus will not turn people into zombies,http://theindependent.sg/malaysian-govt-dispels-rumours-coronavirus-will-not-turn-people-into-zombies,03/02/2020,The Independent Singapore,manual
87,"K Shanmugam on travel ban, “Our primary duty is to make sure Singaporeans are safe”",http://theindependent.sg/k-shanmugam-on-travel-ban-our-primary-duty-is-to-make-sure-singaporeans-are-safe,03/02/2020,The Independent Singapore,manual
88,Thai doctors say they’ve successfully treated Wuhan coronavirus patients with antiviral drugs,http://theindependent.sg/thai-doctors-say-theyve-successfully-treated-wuhan-coronavirus-patients-with-antiviral-drugs,03/02/2020,The Independent Singapore,manual
89,"Morning brief: Wuhan coronavirus update for Feb 3, 2020",http://theindependent.sg/morning-brief-wuhan-coronavirus-update-for-feb-3-2020,03/02/2020,The Independent Singapore,manual
90,Heroes on the front lines of battle against Wuhan virus outbreak,http://theindependent.sg/heroes-on-the-front-lines-of-battle-against-wuhan-virus-outbreak,03/02/2020,The Independent Singapore,manual
91,"Carousell seller, hoping to share some kindness, giving away surgical masks",http://theindependent.sg/carousell-seller-hoping-to-share-some-kindness-giving-away-surgical-masks,03/02/2020,The Independent Singapore,manual
92,The Philippines reports first death from Wuhan coronavirus outside China,http://theindependent.sg/the-philippines-reports-first-death-from-wuhan-coronavirus-outside-china,03/02/2020,The Independent Singapore,manual
93,China’s “top-down” structure shows its weakness amidst the Wuhan virus outbreak,http://theindependent.sg/chinas-top-down-structure-shows-its-weakness-amidst-the-wuhan-virus-outbreak,03/02/2020,The Independent Singapore,manual
94,Wuhan virus: Singapore has first four cases of local transmission,http://theindependent.sg/wuhan-virus-singapore-has-first-four-cases-of-local-transmission/,04/02/2020,,manual
95,Opposition politicians query Govt stand that face masks are not needed unless one is ill,http://theindependent.sg/opposition-politicians-query-govt-stand-that-face-masks-are-not-needed-unless-one-is-ill,04/02/2020,The Independent Singapore,manual
96,HIV drugs touted as weapon in war on coronavirus,http://theindependent.sg/hiv-drugs-touted-as-weapon-in-war-on-coronavirus/,04/02/2020,,manual
97,Hong Kong reports first death from the Wuhan virus,http://theindependent.sg/hong-kong-reports-first-death-from-the-wuhan-virus/,04/02/2020,,manual
98,Wuhan virus: Main lines of defence are strengthening of border controls and detection of cases,http://theindependent.sg/wuhan-virus-main-lines-of-defence-are-strengthening-of-border-controls-and-detection-of-cases/,04/02/2020,,manual
99,"Singer posts about sending 160,000 face masks from Singapore to China",http://theindependent.sg/singer-posts-about-sending-160000-face-masks-from-singapore-to-china/,04/02/2020,,manual
100,Ho Ching says in an emergency even alcohol can be used to sanitise hands against virus,http://theindependent.sg/ho-ching-says-in-an-emergency-even-alcohol-can-be-used-to-sanitise-hands-against-virus/,04/02/2020,,manual
101,Coronavirus spreads fear and racism worldwide,http://theindependent.sg/coronavirus-spreads-fear-and-racism-worldwide/,04/02/2020,,manual
102,Singapore aviation conference pulled over virus scare,http://theindependent.sg/singapore-aviation-conference-pulled-over-virus-scare/,04/02/2020,,manual
103,More Chinese cities shut down as virus death toll rises,http://theindependent.sg/more-chinese-cities-shut-down-as-virus-death-toll-rises/,05/02/2020,The Independent Singapore,manual
104,Malaysian journalist charged over China virus posts,http://theindependent.sg/malaysian-journalist-charged-over-china-virus-posts/,05/02/2020,The Independent Singapore,manual
105,"S’pore to donate S$1 million, medicine, and other supplies to China to combat Wuhan virus",http://theindependent.sg/spore-to-donate-s1-million-medicine-and-other-supplies-to-china-to-combat-wuhan-virus/,05/02/2020,The Independent Singapore,manual
106,"Morning brief: Wuhan coronavirus update for Feb 5, 2020",http://theindependent.sg/morning-brief-wuhan-coronavirus-update-for-feb-5-2020/,05/02/2020,The Independent Singapore,manual
107,"Coronavirus recovery, 4-year-old Chinese girl discharged from Malaysian hospital",http://theindependent.sg/coronavirus-recovery-4-year-old-chinese-girl-discharged-from-malaysian-hospital/,05/02/2020,The Independent Singapore,manual
108,Coronavirus infects at least 10 on Japan cruise ship,http://theindependent.sg/coronavirus-infects-at-least-10-on-japan-cruise-ship/,06/02/2020,The Independent Singapore,manual
109,Wuhan virus: Doctor who tried to sound alarm is now infected,http://theindependent.sg/wuhan-virus-doctor-who-tried-to-sound-alarm-is-now-infected/,06/02/2020,The Independent Singapore,manual
110,Australia’s universities to feel financial impact of coronavirus outbreak,http://theindependent.sg/australias-universities-to-feel-financial-impact-of-coronavirus-outbreak/,06/02/2020,The Independent Singapore,manual
111,"Morning brief: Wuhan coronavirus update for Feb 6, 2020",http://theindependent.sg/morning-brief-wuhan-coronavirus-update-for-feb-6-2020/,06/02/2020,The Independent Singapore,manual
